distance,combination,initial_solution_method,parent_selection_method,population_count,n_iterations,probability_of_mutation,crossing_method,probability_of_winning_tournament,tournament_size
80.0,"[1, 0, 2, 3]",closest_neighbour,probabilistic_tournament,30,10,0.1,PMX,0.85,20
80.0,"[2, 0, 1, 3]",closest_neighbour,probabilistic_tournament,30,10,0.1,PMX,0.95,20
80.0,"[2, 0, 1, 3]",closest_neighbour,probabilistic_tournament,30,10,0.1,CX,0.7,2
80.0,"[2, 0, 1, 3]",closest_neighbour,probabilistic_tournament,30,10,0.1,CX,0.85,2
80.0,"[2, 0, 1, 3]",closest_neighbour,probabilistic_tournament,30,10,0.1,CX,0.95,2
80.0,"[0, 1, 3, 2]",closest_neighbour,probabilistic_tournament,30,10,0.1,CX,0.7,3
80.0,"[1, 0, 2, 3]",closest_neighbour,probabilistic_tournament,30,10,0.1,CX,0.85,3
80.0,"[1, 0, 2, 3]",closest_neighbour,probabilistic_tournament,30,10,0.1,CX,0.95,3
80.0,"[0, 1, 3, 2]",closest_neighbour,probabilistic_tournament,30,10,0.1,CX,0.7,5
80.0,"[1, 0, 2, 3]",closest_neighbour,probabilistic_tournament,30,10,0.1,CX,0.85,5
80.0,"[2, 0, 1, 3]",closest_neighbour,probabilistic_tournament,30,10,0.1,CX,0.95,5
80.0,"[2, 0, 1, 3]",closest_neighbour,probabilistic_tournament,30,10,0.1,CX,0.7,10
80.0,"[0, 1, 3, 2]",closest_neighbour,probabilistic_tournament,30,10,0.1,CX,0.85,10
80.0,"[0, 1, 3, 2]",closest_neighbour,probabilistic_tournament,30,10,0.1,CX,0.95,10
80.0,"[0, 1, 3, 2]",closest_neighbour,probabilistic_tournament,30,10,0.1,CX,0.7,20
80.0,"[1, 0, 2, 3]",closest_neighbour,probabilistic_tournament,30,10,0.1,CX,0.85,20
80.0,"[0, 1, 3, 2]",closest_neighbour,probabilistic_tournament,30,10,0.1,CX,0.95,20
80.0,"[0, 1, 3, 2]",closest_neighbour,probabilistic_tournament,30,10,0.3,OX,0.7,2
80.0,"[0, 1, 3, 2]",closest_neighbour,probabilistic_tournament,30,10,0.3,OX,0.85,2
80.0,"[0, 1, 3, 2]",closest_neighbour,probabilistic_tournament,30,10,0.3,OX,0.95,2
80.0,"[0, 1, 3, 2]",closest_neighbour,probabilistic_tournament,30,10,0.3,OX,0.7,3
80.0,"[1, 0, 2, 3]",closest_neighbour,probabilistic_tournament,30,10,0.3,OX,0.85,3
80.0,"[1, 0, 2, 3]",closest_neighbour,probabilistic_tournament,30,10,0.3,OX,0.95,3
80.0,"[2, 0, 1, 3]",closest_neighbour,probabilistic_tournament,30,10,0.3,OX,0.7,5
80.0,"[0, 1, 3, 2]",closest_neighbour,probabilistic_tournament,30,10,0.3,OX,0.85,5
80.0,"[2, 0, 1, 3]",closest_neighbour,probabilistic_tournament,30,10,0.3,OX,0.95,5
80.0,"[2, 0, 1, 3]",closest_neighbour,probabilistic_tournament,30,10,0.3,OX,0.7,10
80.0,"[1, 0, 2, 3]",closest_neighbour,probabilistic_tournament,30,10,0.3,OX,0.85,10
80.0,"[0, 1, 3, 2]",closest_neighbour,probabilistic_tournament,30,10,0.3,OX,0.95,10
80.0,"[0, 1, 3, 2]",closest_neighbour,probabilistic_tournament,30,10,0.3,OX,0.7,20
80.0,"[0, 1, 3, 2]",closest_neighbour,probabilistic_tournament,30,10,0.3,OX,0.85,20
80.0,"[2, 0, 1, 3]",closest_neighbour,probabilistic_tournament,30,10,0.3,OX,0.95,20
80.0,"[1, 0, 2, 3]",closest_neighbour,probabilistic_tournament,30,10,0.3,PMX,0.7,2
80.0,"[0, 1, 3, 2]",closest_neighbour,probabilistic_tournament,30,10,0.3,PMX,0.85,2
80.0,"[2, 0, 1, 3]",closest_neighbour,probabilistic_tournament,30,10,0.3,PMX,0.95,2
80.0,"[1, 0, 2, 3]",closest_neighbour,probabilistic_tournament,30,10,0.3,PMX,0.7,3
80.0,"[2, 0, 1, 3]",closest_neighbour,probabilistic_tournament,30,10,0.3,PMX,0.85,3
80.0,"[1, 0, 2, 3]",closest_neighbour,probabilistic_tournament,30,10,0.3,PMX,0.95,3
80.0,"[2, 0, 1, 3]",closest_neighbour,probabilistic_tournament,30,10,0.3,PMX,0.7,5
80.0,"[1, 0, 2, 3]",closest_neighbour,probabilistic_tournament,30,10,0.3,PMX,0.85,5
80.0,"[1, 0, 2, 3]",closest_neighbour,probabilistic_tournament,30,10,0.3,PMX,0.95,5
80.0,"[1, 0, 2, 3]",closest_neighbour,probabilistic_tournament,30,10,0.3,PMX,0.7,10
80.0,"[0, 1, 3, 2]",closest_neighbour,probabilistic_tournament,30,10,0.3,PMX,0.85,10
80.0,"[0, 1, 3, 2]",closest_neighbour,probabilistic_tournament,30,10,0.3,PMX,0.95,10
80.0,"[2, 0, 1, 3]",closest_neighbour,probabilistic_tournament,30,10,0.3,PMX,0.7,20
80.0,"[2, 0, 1, 3]",closest_neighbour,probabilistic_tournament,30,10,0.3,PMX,0.85,20
80.0,"[1, 0, 2, 3]",closest_neighbour,probabilistic_tournament,30,10,0.3,PMX,0.95,20
80.0,"[0, 1, 3, 2]",closest_neighbour,probabilistic_tournament,30,10,0.3,CX,0.7,2
80.0,"[0, 1, 3, 2]",closest_neighbour,probabilistic_tournament,30,10,0.3,CX,0.85,2
80.0,"[0, 1, 3, 2]",closest_neighbour,probabilistic_tournament,30,10,0.3,CX,0.95,2
80.0,"[0, 1, 3, 2]",closest_neighbour,probabilistic_tournament,30,10,0.3,CX,0.7,3
80.0,"[2, 0, 1, 3]",closest_neighbour,probabilistic_tournament,30,10,0.3,CX,0.85,3
80.0,"[2, 0, 1, 3]",closest_neighbour,probabilistic_tournament,30,10,0.3,CX,0.95,3
80.0,"[2, 0, 1, 3]",closest_neighbour,probabilistic_tournament,30,10,0.3,CX,0.7,5
80.0,"[0, 1, 3, 2]",closest_neighbour,probabilistic_tournament,30,10,0.3,CX,0.85,5
80.0,"[1, 0, 2, 3]",closest_neighbour,probabilistic_tournament,30,10,0.3,CX,0.95,5
80.0,"[2, 0, 1, 3]",closest_neighbour,probabilistic_tournament,30,10,0.3,CX,0.7,10
80.0,"[2, 0, 1, 3]",closest_neighbour,probabilistic_tournament,30,10,0.3,CX,0.85,10
80.0,"[2, 0, 1, 3]",closest_neighbour,probabilistic_tournament,30,10,0.3,CX,0.95,10
80.0,"[0, 1, 3, 2]",closest_neighbour,probabilistic_tournament,30,10,0.3,CX,0.7,20
80.0,"[1, 0, 2, 3]",closest_neighbour,probabilistic_tournament,30,10,0.3,CX,0.85,20
80.0,"[2, 0, 1, 3]",closest_neighbour,probabilistic_tournament,30,10,0.3,CX,0.95,20
80.0,"[1, 0, 2, 3]",closest_neighbour,probabilistic_tournament,30,10,0.5,OX,0.7,2
80.0,"[1, 0, 2, 3]",closest_neighbour,probabilistic_tournament,30,10,0.5,OX,0.85,2
80.0,"[0, 1, 3, 2]",closest_neighbour,probabilistic_tournament,30,10,0.5,OX,0.95,2
80.0,"[0, 1, 3, 2]",closest_neighbour,probabilistic_tournament,30,10,0.5,OX,0.7,3
80.0,"[2, 0, 1, 3]",closest_neighbour,probabilistic_tournament,30,10,0.5,OX,0.85,3
80.0,"[2, 0, 1, 3]",closest_neighbour,probabilistic_tournament,30,10,0.5,OX,0.95,3
80.0,"[2, 0, 1, 3]",closest_neighbour,probabilistic_tournament,30,10,0.5,OX,0.7,5
80.0,"[2, 0, 1, 3]",closest_neighbour,probabilistic_tournament,30,10,0.5,OX,0.85,5
80.0,"[2, 0, 1, 3]",closest_neighbour,probabilistic_tournament,30,10,0.5,OX,0.95,5
80.0,"[1, 0, 2, 3]",closest_neighbour,probabilistic_tournament,30,10,0.5,OX,0.7,10
80.0,"[1, 0, 2, 3]",closest_neighbour,probabilistic_tournament,30,10,0.5,OX,0.85,10
80.0,"[0, 1, 3, 2]",closest_neighbour,probabilistic_tournament,30,10,0.5,OX,0.95,10
80.0,"[2, 0, 1, 3]",closest_neighbour,probabilistic_tournament,30,10,0.5,OX,0.7,20
80.0,"[2, 0, 1, 3]",closest_neighbour,probabilistic_tournament,30,10,0.5,OX,0.85,20
80.0,"[2, 0, 1, 3]",closest_neighbour,probabilistic_tournament,30,10,0.5,OX,0.95,20
80.0,"[1, 0, 2, 3]",closest_neighbour,probabilistic_tournament,30,10,0.5,PMX,0.7,2
80.0,"[3, 1, 0, 2]",closest_neighbour,probabilistic_tournament,30,10,0.5,PMX,0.85,2
80.0,"[2, 0, 1, 3]",closest_neighbour,probabilistic_tournament,30,10,0.5,PMX,0.95,2
80.0,"[1, 0, 2, 3]",closest_neighbour,probabilistic_tournament,30,10,0.5,PMX,0.7,3
80.0,"[1, 0, 2, 3]",closest_neighbour,probabilistic_tournament,30,10,0.5,PMX,0.85,3
80.0,"[1, 0, 2, 3]",closest_neighbour,probabilistic_tournament,30,10,0.5,PMX,0.95,3
80.0,"[0, 1, 3, 2]",closest_neighbour,probabilistic_tournament,30,10,0.5,PMX,0.7,5
80.0,"[0, 1, 3, 2]",closest_neighbour,probabilistic_tournament,30,10,0.5,PMX,0.85,5
80.0,"[2, 0, 1, 3]",closest_neighbour,probabilistic_tournament,30,10,0.5,PMX,0.95,5
80.0,"[2, 0, 1, 3]",closest_neighbour,probabilistic_tournament,30,10,0.5,PMX,0.7,10
80.0,"[2, 0, 1, 3]",closest_neighbour,probabilistic_tournament,30,10,0.5,PMX,0.85,10
80.0,"[0, 1, 3, 2]",closest_neighbour,probabilistic_tournament,30,10,0.5,PMX,0.95,10
80.0,"[1, 0, 2, 3]",closest_neighbour,probabilistic_tournament,30,10,0.5,PMX,0.7,20
80.0,"[0, 1, 3, 2]",closest_neighbour,probabilistic_tournament,30,10,0.5,PMX,0.85,20
80.0,"[2, 0, 1, 3]",closest_neighbour,probabilistic_tournament,30,10,0.5,PMX,0.95,20
80.0,"[1, 0, 2, 3]",closest_neighbour,probabilistic_tournament,30,10,0.5,CX,0.7,2
80.0,"[1, 0, 2, 3]",closest_neighbour,probabilistic_tournament,30,10,0.5,CX,0.85,2
80.0,"[0, 1, 3, 2]",closest_neighbour,probabilistic_tournament,30,10,0.5,CX,0.95,2
80.0,"[1, 0, 2, 3]",closest_neighbour,probabilistic_tournament,30,10,0.5,CX,0.7,3
80.0,"[2, 0, 1, 3]",closest_neighbour,probabilistic_tournament,30,10,0.5,CX,0.85,3
80.0,"[0, 1, 3, 2]",closest_neighbour,probabilistic_tournament,30,10,0.5,CX,0.95,3
80.0,"[1, 0, 2, 3]",closest_neighbour,probabilistic_tournament,30,10,0.5,CX,0.7,5
80.0,"[2, 0, 1, 3]",closest_neighbour,probabilistic_tournament,30,10,0.5,CX,0.85,5
80.0,"[0, 1, 3, 2]",closest_neighbour,probabilistic_tournament,30,10,0.5,CX,0.95,5
80.0,"[1, 0, 2, 3]",closest_neighbour,probabilistic_tournament,30,10,0.5,CX,0.7,10
80.0,"[0, 1, 3, 2]",closest_neighbour,probabilistic_tournament,30,10,0.5,CX,0.85,10
80.0,"[2, 0, 1, 3]",closest_neighbour,probabilistic_tournament,30,10,0.5,CX,0.95,10
80.0,"[2, 0, 1, 3]",closest_neighbour,probabilistic_tournament,30,10,0.5,CX,0.7,20
80.0,"[2, 0, 1, 3]",closest_neighbour,probabilistic_tournament,30,10,0.5,CX,0.85,20
80.0,"[0, 1, 3, 2]",closest_neighbour,probabilistic_tournament,30,10,0.5,CX,0.95,20
80.0,"[2, 0, 1, 3]",closest_neighbour,probabilistic_tournament,30,20,0.05,OX,0.7,2
80.0,"[0, 1, 3, 2]",closest_neighbour,probabilistic_tournament,30,20,0.05,OX,0.85,2
80.0,"[1, 0, 2, 3]",closest_neighbour,probabilistic_tournament,30,20,0.05,OX,0.95,2
80.0,"[1, 0, 2, 3]",closest_neighbour,probabilistic_tournament,30,20,0.05,OX,0.7,3
80.0,"[1, 0, 2, 3]",closest_neighbour,probabilistic_tournament,30,20,0.05,OX,0.85,3
80.0,"[1, 0, 2, 3]",closest_neighbour,probabilistic_tournament,30,20,0.05,OX,0.95,3
80.0,"[1, 0, 2, 3]",closest_neighbour,probabilistic_tournament,30,20,0.05,OX,0.7,5
80.0,"[0, 1, 3, 2]",closest_neighbour,probabilistic_tournament,30,20,0.05,OX,0.85,5
80.0,"[0, 1, 3, 2]",closest_neighbour,probabilistic_tournament,30,20,0.05,OX,0.95,5
80.0,"[1, 0, 2, 3]",closest_neighbour,probabilistic_tournament,30,20,0.05,OX,0.7,10
80.0,"[0, 1, 3, 2]",closest_neighbour,probabilistic_tournament,30,20,0.05,OX,0.85,10
80.0,"[1, 0, 2, 3]",closest_neighbour,probabilistic_tournament,30,20,0.05,OX,0.95,10
80.0,"[2, 0, 1, 3]",closest_neighbour,probabilistic_tournament,30,20,0.05,OX,0.7,20
80.0,"[0, 1, 3, 2]",closest_neighbour,probabilistic_tournament,30,20,0.05,OX,0.85,20
80.0,"[1, 0, 2, 3]",closest_neighbour,probabilistic_tournament,30,20,0.05,OX,0.95,20
80.0,"[1, 0, 2, 3]",closest_neighbour,probabilistic_tournament,30,20,0.05,PMX,0.7,2
80.0,"[2, 0, 1, 3]",closest_neighbour,probabilistic_tournament,30,20,0.05,PMX,0.85,2
80.0,"[2, 0, 1, 3]",closest_neighbour,probabilistic_tournament,30,20,0.05,PMX,0.95,2
80.0,"[2, 0, 1, 3]",closest_neighbour,probabilistic_tournament,30,20,0.05,PMX,0.7,3
80.0,"[2, 0, 1, 3]",closest_neighbour,probabilistic_tournament,30,20,0.05,PMX,0.85,3
80.0,"[1, 0, 2, 3]",closest_neighbour,probabilistic_tournament,30,20,0.05,PMX,0.95,3
80.0,"[2, 0, 1, 3]",closest_neighbour,probabilistic_tournament,30,20,0.05,PMX,0.7,5
80.0,"[2, 0, 1, 3]",closest_neighbour,probabilistic_tournament,30,20,0.05,PMX,0.85,5
80.0,"[1, 0, 2, 3]",closest_neighbour,probabilistic_tournament,30,20,0.05,PMX,0.95,5
80.0,"[0, 1, 3, 2]",closest_neighbour,probabilistic_tournament,30,20,0.05,PMX,0.7,10
80.0,"[1, 0, 2, 3]",closest_neighbour,probabilistic_tournament,30,20,0.05,PMX,0.85,10
80.0,"[1, 0, 2, 3]",closest_neighbour,probabilistic_tournament,30,20,0.05,PMX,0.95,10
80.0,"[1, 0, 2, 3]",closest_neighbour,probabilistic_tournament,30,20,0.05,PMX,0.7,20
80.0,"[1, 0, 2, 3]",closest_neighbour,probabilistic_tournament,30,20,0.05,PMX,0.85,20
80.0,"[1, 0, 2, 3]",closest_neighbour,probabilistic_tournament,30,20,0.05,PMX,0.95,20
80.0,"[2, 0, 1, 3]",closest_neighbour,probabilistic_tournament,30,20,0.05,CX,0.7,2
80.0,"[1, 0, 2, 3]",closest_neighbour,probabilistic_tournament,30,20,0.05,CX,0.85,2
80.0,"[1, 0, 2, 3]",closest_neighbour,probabilistic_tournament,30,20,0.05,CX,0.95,2
80.0,"[0, 1, 3, 2]",closest_neighbour,probabilistic_tournament,30,20,0.05,CX,0.7,3
80.0,"[2, 0, 1, 3]",closest_neighbour,probabilistic_tournament,30,20,0.05,CX,0.85,3
80.0,"[0, 1, 3, 2]",closest_neighbour,probabilistic_tournament,30,20,0.05,CX,0.95,3
80.0,"[2, 0, 1, 3]",closest_neighbour,probabilistic_tournament,30,20,0.05,CX,0.7,5
80.0,"[2, 0, 1, 3]",closest_neighbour,probabilistic_tournament,30,20,0.05,CX,0.85,5
80.0,"[2, 0, 1, 3]",closest_neighbour,probabilistic_tournament,30,20,0.05,CX,0.95,5
80.0,"[0, 1, 3, 2]",closest_neighbour,probabilistic_tournament,30,20,0.05,CX,0.7,10
80.0,"[1, 0, 2, 3]",closest_neighbour,probabilistic_tournament,30,20,0.05,CX,0.85,10
80.0,"[1, 0, 2, 3]",closest_neighbour,probabilistic_tournament,30,20,0.05,CX,0.95,10
80.0,"[0, 1, 3, 2]",closest_neighbour,probabilistic_tournament,30,20,0.05,CX,0.7,20
80.0,"[2, 0, 1, 3]",closest_neighbour,probabilistic_tournament,30,20,0.05,CX,0.85,20
80.0,"[1, 0, 2, 3]",closest_neighbour,probabilistic_tournament,30,20,0.05,CX,0.95,20
80.0,"[2, 0, 1, 3]",closest_neighbour,probabilistic_tournament,30,20,0.1,OX,0.7,2
80.0,"[2, 0, 1, 3]",closest_neighbour,probabilistic_tournament,30,20,0.1,OX,0.85,2
80.0,"[0, 1, 3, 2]",closest_neighbour,probabilistic_tournament,30,20,0.1,OX,0.95,2
80.0,"[2, 0, 1, 3]",closest_neighbour,probabilistic_tournament,30,20,0.1,OX,0.7,3
80.0,"[2, 0, 1, 3]",closest_neighbour,probabilistic_tournament,30,20,0.1,OX,0.85,3
80.0,"[2, 0, 1, 3]",closest_neighbour,probabilistic_tournament,30,20,0.1,OX,0.95,3
80.0,"[0, 1, 3, 2]",closest_neighbour,probabilistic_tournament,30,20,0.1,OX,0.7,5
80.0,"[1, 0, 2, 3]",closest_neighbour,probabilistic_tournament,30,20,0.1,OX,0.85,5
80.0,"[1, 0, 2, 3]",closest_neighbour,probabilistic_tournament,30,20,0.1,OX,0.95,5
80.0,"[1, 0, 2, 3]",closest_neighbour,probabilistic_tournament,30,20,0.1,OX,0.7,10
80.0,"[2, 0, 1, 3]",closest_neighbour,probabilistic_tournament,30,20,0.1,OX,0.85,10
80.0,"[1, 0, 2, 3]",closest_neighbour,probabilistic_tournament,30,20,0.1,OX,0.95,10
80.0,"[1, 0, 2, 3]",closest_neighbour,probabilistic_tournament,30,20,0.1,OX,0.7,20
80.0,"[1, 0, 2, 3]",closest_neighbour,probabilistic_tournament,30,20,0.1,OX,0.85,20
80.0,"[0, 1, 3, 2]",closest_neighbour,probabilistic_tournament,30,20,0.1,OX,0.95,20
80.0,"[2, 0, 1, 3]",closest_neighbour,probabilistic_tournament,30,20,0.1,PMX,0.7,2
80.0,"[2, 0, 1, 3]",closest_neighbour,probabilistic_tournament,30,20,0.1,PMX,0.85,2
80.0,"[2, 0, 1, 3]",closest_neighbour,probabilistic_tournament,30,20,0.1,PMX,0.95,2
80.0,"[1, 0, 2, 3]",closest_neighbour,probabilistic_tournament,30,20,0.1,PMX,0.7,3
80.0,"[0, 1, 3, 2]",closest_neighbour,probabilistic_tournament,30,20,0.1,PMX,0.85,3
80.0,"[2, 0, 1, 3]",closest_neighbour,probabilistic_tournament,30,20,0.1,PMX,0.95,3
80.0,"[0, 1, 3, 2]",closest_neighbour,probabilistic_tournament,30,20,0.1,PMX,0.7,5
80.0,"[1, 0, 2, 3]",closest_neighbour,probabilistic_tournament,30,20,0.1,PMX,0.85,5
80.0,"[2, 0, 1, 3]",closest_neighbour,probabilistic_tournament,30,20,0.1,PMX,0.95,5
80.0,"[1, 0, 2, 3]",closest_neighbour,probabilistic_tournament,30,20,0.1,PMX,0.7,10
80.0,"[1, 0, 2, 3]",closest_neighbour,probabilistic_tournament,30,20,0.1,PMX,0.85,10
80.0,"[0, 1, 3, 2]",closest_neighbour,probabilistic_tournament,30,20,0.1,PMX,0.95,10
80.0,"[1, 0, 2, 3]",closest_neighbour,probabilistic_tournament,30,20,0.1,PMX,0.7,20
80.0,"[2, 0, 1, 3]",closest_neighbour,probabilistic_tournament,30,20,0.1,PMX,0.85,20
80.0,"[1, 0, 2, 3]",closest_neighbour,probabilistic_tournament,30,20,0.1,PMX,0.95,20
80.0,"[2, 0, 1, 3]",closest_neighbour,probabilistic_tournament,30,20,0.1,CX,0.7,2
80.0,"[0, 1, 3, 2]",closest_neighbour,probabilistic_tournament,30,20,0.1,CX,0.85,2
80.0,"[2, 0, 1, 3]",closest_neighbour,probabilistic_tournament,30,20,0.1,CX,0.95,2
80.0,"[2, 0, 1, 3]",closest_neighbour,probabilistic_tournament,30,20,0.1,CX,0.7,3
80.0,"[0, 1, 3, 2]",closest_neighbour,probabilistic_tournament,30,20,0.1,CX,0.85,3
80.0,"[1, 0, 2, 3]",closest_neighbour,probabilistic_tournament,30,20,0.1,CX,0.95,3
80.0,"[2, 0, 1, 3]",closest_neighbour,probabilistic_tournament,30,20,0.1,CX,0.7,5
80.0,"[1, 0, 2, 3]",closest_neighbour,probabilistic_tournament,30,20,0.1,CX,0.85,5
80.0,"[1, 0, 2, 3]",closest_neighbour,probabilistic_tournament,30,20,0.1,CX,0.95,5
80.0,"[2, 0, 1, 3]",closest_neighbour,probabilistic_tournament,30,20,0.1,CX,0.7,10
80.0,"[2, 0, 1, 3]",closest_neighbour,probabilistic_tournament,30,20,0.1,CX,0.85,10
80.0,"[2, 0, 1, 3]",closest_neighbour,probabilistic_tournament,30,20,0.1,CX,0.95,10
80.0,"[0, 1, 3, 2]",closest_neighbour,probabilistic_tournament,30,20,0.1,CX,0.7,20
80.0,"[1, 0, 2, 3]",closest_neighbour,probabilistic_tournament,30,20,0.1,CX,0.85,20
80.0,"[1, 0, 2, 3]",closest_neighbour,probabilistic_tournament,30,20,0.1,CX,0.95,20
80.0,"[1, 0, 2, 3]",closest_neighbour,probabilistic_tournament,30,20,0.3,OX,0.7,2
80.0,"[2, 0, 1, 3]",closest_neighbour,probabilistic_tournament,30,20,0.3,OX,0.85,2
80.0,"[1, 0, 2, 3]",closest_neighbour,probabilistic_tournament,30,20,0.3,OX,0.95,2
80.0,"[0, 1, 3, 2]",closest_neighbour,probabilistic_tournament,30,20,0.3,OX,0.7,3
80.0,"[2, 0, 1, 3]",closest_neighbour,probabilistic_tournament,30,20,0.3,OX,0.85,3
80.0,"[0, 1, 3, 2]",closest_neighbour,probabilistic_tournament,30,20,0.3,OX,0.95,3
80.0,"[2, 0, 1, 3]",closest_neighbour,probabilistic_tournament,30,20,0.3,OX,0.7,5
80.0,"[0, 1, 3, 2]",closest_neighbour,probabilistic_tournament,30,20,0.3,OX,0.85,5
80.0,"[2, 0, 1, 3]",closest_neighbour,probabilistic_tournament,30,20,0.3,OX,0.95,5
80.0,"[2, 0, 1, 3]",closest_neighbour,probabilistic_tournament,30,20,0.3,OX,0.7,10
80.0,"[2, 0, 1, 3]",closest_neighbour,probabilistic_tournament,30,20,0.3,OX,0.85,10
80.0,"[2, 0, 1, 3]",closest_neighbour,probabilistic_tournament,30,20,0.3,OX,0.95,10
80.0,"[0, 1, 3, 2]",closest_neighbour,probabilistic_tournament,30,20,0.3,OX,0.7,20
80.0,"[2, 0, 1, 3]",closest_neighbour,probabilistic_tournament,30,20,0.3,OX,0.85,20
80.0,"[0, 1, 3, 2]",closest_neighbour,probabilistic_tournament,30,20,0.3,OX,0.95,20
80.0,"[2, 0, 1, 3]",closest_neighbour,probabilistic_tournament,30,20,0.3,PMX,0.7,2
80.0,"[2, 0, 1, 3]",closest_neighbour,probabilistic_tournament,30,20,0.3,PMX,0.85,2
80.0,"[0, 1, 3, 2]",closest_neighbour,probabilistic_tournament,30,20,0.3,PMX,0.95,2
80.0,"[0, 1, 3, 2]",closest_neighbour,probabilistic_tournament,30,20,0.3,PMX,0.7,3
80.0,"[1, 0, 2, 3]",closest_neighbour,probabilistic_tournament,30,20,0.3,PMX,0.85,3
80.0,"[2, 0, 1, 3]",closest_neighbour,probabilistic_tournament,30,20,0.3,PMX,0.95,3
80.0,"[1, 0, 2, 3]",closest_neighbour,probabilistic_tournament,30,20,0.3,PMX,0.7,5
80.0,"[1, 0, 2, 3]",closest_neighbour,probabilistic_tournament,30,20,0.3,PMX,0.85,5
80.0,"[0, 1, 3, 2]",closest_neighbour,probabilistic_tournament,30,20,0.3,PMX,0.95,5
80.0,"[0, 1, 3, 2]",closest_neighbour,probabilistic_tournament,30,20,0.3,PMX,0.7,10
80.0,"[1, 0, 2, 3]",closest_neighbour,probabilistic_tournament,30,20,0.3,PMX,0.85,10
80.0,"[2, 0, 1, 3]",closest_neighbour,probabilistic_tournament,30,20,0.3,PMX,0.95,10
80.0,"[2, 0, 1, 3]",closest_neighbour,probabilistic_tournament,30,20,0.3,PMX,0.7,20
80.0,"[0, 1, 3, 2]",closest_neighbour,probabilistic_tournament,30,20,0.3,PMX,0.85,20
80.0,"[0, 1, 3, 2]",closest_neighbour,probabilistic_tournament,30,20,0.3,PMX,0.95,20
80.0,"[2, 0, 1, 3]",closest_neighbour,probabilistic_tournament,30,20,0.3,CX,0.7,2
80.0,"[2, 0, 1, 3]",closest_neighbour,probabilistic_tournament,30,20,0.3,CX,0.85,2
80.0,"[2, 0, 1, 3]",closest_neighbour,probabilistic_tournament,30,20,0.3,CX,0.95,2
80.0,"[1, 0, 2, 3]",closest_neighbour,probabilistic_tournament,30,20,0.3,CX,0.7,3
80.0,"[2, 0, 1, 3]",closest_neighbour,probabilistic_tournament,30,20,0.3,CX,0.85,3
80.0,"[1, 0, 2, 3]",closest_neighbour,probabilistic_tournament,30,20,0.3,CX,0.95,3
80.0,"[1, 0, 2, 3]",closest_neighbour,probabilistic_tournament,30,20,0.3,CX,0.7,5
80.0,"[1, 0, 2, 3]",closest_neighbour,probabilistic_tournament,30,20,0.3,CX,0.85,5
80.0,"[1, 0, 2, 3]",closest_neighbour,probabilistic_tournament,30,20,0.3,CX,0.95,5
80.0,"[1, 0, 2, 3]",closest_neighbour,probabilistic_tournament,30,20,0.3,CX,0.7,10
80.0,"[2, 0, 1, 3]",closest_neighbour,probabilistic_tournament,30,20,0.3,CX,0.85,10
80.0,"[0, 1, 3, 2]",closest_neighbour,probabilistic_tournament,30,20,0.3,CX,0.95,10
80.0,"[2, 0, 1, 3]",closest_neighbour,probabilistic_tournament,30,20,0.3,CX,0.7,20
80.0,"[0, 1, 3, 2]",closest_neighbour,probabilistic_tournament,30,20,0.3,CX,0.85,20
80.0,"[2, 0, 1, 3]",closest_neighbour,probabilistic_tournament,30,20,0.3,CX,0.95,20
80.0,"[2, 0, 1, 3]",closest_neighbour,probabilistic_tournament,30,20,0.5,OX,0.7,2
80.0,"[2, 0, 1, 3]",closest_neighbour,probabilistic_tournament,30,20,0.5,OX,0.85,2
80.0,"[0, 1, 3, 2]",closest_neighbour,probabilistic_tournament,30,20,0.5,OX,0.95,2
80.0,"[2, 0, 1, 3]",closest_neighbour,probabilistic_tournament,30,20,0.5,OX,0.7,3
80.0,"[0, 1, 3, 2]",closest_neighbour,probabilistic_tournament,30,20,0.5,OX,0.85,3
80.0,"[0, 1, 3, 2]",closest_neighbour,probabilistic_tournament,30,20,0.5,OX,0.95,3
80.0,"[2, 0, 1, 3]",closest_neighbour,probabilistic_tournament,30,20,0.5,OX,0.7,5
80.0,"[1, 0, 2, 3]",closest_neighbour,probabilistic_tournament,30,20,0.5,OX,0.85,5
80.0,"[1, 0, 2, 3]",closest_neighbour,probabilistic_tournament,30,20,0.5,OX,0.95,5
80.0,"[0, 1, 3, 2]",closest_neighbour,probabilistic_tournament,30,20,0.5,OX,0.7,10
80.0,"[1, 0, 2, 3]",closest_neighbour,probabilistic_tournament,30,20,0.5,OX,0.85,10
80.0,"[1, 0, 2, 3]",closest_neighbour,probabilistic_tournament,30,20,0.5,OX,0.95,10
80.0,"[1, 0, 2, 3]",closest_neighbour,probabilistic_tournament,30,20,0.5,OX,0.7,20
80.0,"[2, 0, 1, 3]",closest_neighbour,probabilistic_tournament,30,20,0.5,OX,0.85,20
80.0,"[3, 2, 0, 1]",closest_neighbour,probabilistic_tournament,30,20,0.5,OX,0.95,20
80.0,"[1, 0, 2, 3]",closest_neighbour,probabilistic_tournament,30,20,0.5,PMX,0.7,2
80.0,"[2, 0, 1, 3]",closest_neighbour,probabilistic_tournament,30,20,0.5,PMX,0.85,2
80.0,"[1, 0, 2, 3]",closest_neighbour,probabilistic_tournament,30,20,0.5,PMX,0.95,2
80.0,"[2, 0, 1, 3]",closest_neighbour,probabilistic_tournament,30,20,0.5,PMX,0.7,3
